mechanism,rate,feature,auroc_mean,auroc_std,missing_rate_mean,n_seeds,leak_strength
MAR,0.1,lab_50960,0.457286105127916,0.008388718238647432,0.259931823023933,20,0.04271389487208399
MAR,0.1,lab_50970,0.45225914919983046,0.012317660600926695,0.2792273276045735,20,0.04774085080016954
MAR,0.1,lab_50971,0.49265791394539277,0.009806368087773082,0.19699240110787586,20,0.007342086054607233
MAR,0.1,lab_50983,0.48882741611053826,0.010114012148897478,0.19998934734748952,20,0.01117258388946174
MAR,0.1,lab_51006,0.4890788493973132,0.012357381184388965,0.19698529933953554,20,0.01092115060268678
MAR,0.1,lab_51221,0.5108907251903891,0.00779459842352876,0.15824160215893757,20,0.010890725190389139
MAR,0.1,lab_51222,0.504199979075214,0.012950737579098977,0.17393651019103756,20,0.0041999790752139665
MAR,0.1,lab_51248,0.5026259944870923,0.010198861255572931,0.17574746111781833,20,0.0026259944870923313
MAR,0.1,lab_51249,0.49808142306456926,0.007139503181222074,0.17552730629926852,20,0.001918576935430738
MAR,0.1,lab_51250,0.500551056681337,0.010110176876594667,0.17602087919892054,20,0.0005510566813370366
MAR,0.1,lab_51265,0.5015488107271688,0.008910465542762485,0.17100347986648676,20,0.0015488107271688367
MAR,0.1,lab_51274,0.36700238090682485,0.011670703578691478,0.4671933811519068,20,0.13299761909317515
MAR,0.1,lab_51275,0.35873699884832255,0.010519417527567503,0.4883317946168596,20,0.14126300115167745
MAR,0.1,lab_51277,0.5007131932403985,0.008379687469252581,0.17570485050777646,20,0.0007131932403985353
MAR,0.1,lab_51279,0.49882954013915387,0.009037797202180398,0.175605425751012,20,0.0011704598608461292
MAR,0.1,lab_51301,0.49821197398487305,0.010541632031756289,0.17597116682053832,20,0.0017880260151269534
MAR,0.1,lab_52172,0.48021146755620076,0.006349432722932656,0.5867552020453093,20,0.019788532443799245
MAR,0.1,marital_status,0.5792513292734907,0.008760794296597723,0.14957744478375115,20,0.07925132927349066
MAR,0.1,race,0.5199723774505713,0.009584062550314876,0.12545628861586536,20,0.019972377450571344
MAR,0.2,admission_location,0.5356776862397549,0.013200458100576283,0.2511291811661104,20,0.03567768623975487
MAR,0.2,admission_type,0.5381764934455348,0.009437174935351149,0.2494709182586464,20,0.038176493445534754
MAR,0.2,anchor_age,0.5370136259438035,0.01223777421120186,0.2499218805482565,20,0.03701362594380353
MAR,0.2,anchor_year,0.5301299667361039,0.015567905816895938,0.2500710176834032,20,0.030129966736103908
MAR,0.2,anchor_year_group,0.531530868944483,0.011071724320161284,0.2498544137490235,20,0.03153086894448298
MAR,0.2,gender,0.5320008878785646,0.011679498119487338,0.24851928130104395,20,0.03200088787856459
MAR,0.2,insurance,0.5408014345691305,0.01143272181037908,0.2619522761167531,20,0.040801434569130546
