mechanism,rate,split,seed,top1_model,top1_auroc,top2_model,top2_auroc,gap
MAR,0.2,S1,1020,extratrees,0.9324116273797534,rf,0.9276749198159522,0.004736707563801179
MAR,0.2,S2,1001,xgb,0.9334680493773944,extratrees,0.9271147832334039,0.006353266143990455
MAR,0.2,S2,1002,xgb,0.9317940828548428,extratrees,0.927866671307658,0.003927411547184789
MAR,0.2,S2,1003,xgb,0.937669119543697,extratrees,0.9323313919314371,0.005337727612259924
MAR,0.2,S2,1004,xgb,0.9300972331524505,extratrees,0.9224442177417231,0.007653015410727382
MAR,0.2,S2,1005,xgb,0.9343874203061799,extratrees,0.9279637140230763,0.006423706283103625
MAR,0.2,S2,1006,xgb,0.9374891081714722,extratrees,0.929145549681128,0.008343558490344294
MAR,0.2,S2,1007,xgb,0.9354583495810239,extratrees,0.927219282740591,0.008239066840432963
MAR,0.2,S2,1008,xgb,0.9313962796144283,extratrees,0.929387146038788,0.002009133575640254
MAR,0.2,S2,1009,xgb,0.9404150310148204,extratrees,0.9285328800201373,0.011882150994683038
MAR,0.2,S2,1010,xgb,0.937098866341074,extratrees,0.9329002704183564,0.004198595922717541
MAR,0.2,S2,1011,xgb,0.934009269012904,extratrees,0.9229967949088331,0.011012474104070913
MAR,0.2,S2,1012,xgb,0.9356055300168382,extratrees,0.9236498845994218,0.01195564541741645
MAR,0.2,S2,1013,xgb,0.9419482760729938,extratrees,0.9303409754767145,0.011607300596279346
MAR,0.2,S2,1014,xgb,0.9350455883601303,extratrees,0.9285318016399188,0.006513786720211523
MAR,0.2,S2,1015,xgb,0.9337025928142108,extratrees,0.9259287450059908,0.007773847808219991
MAR,0.2,S2,1016,xgb,0.9308152037337258,extratrees,0.9206631779490848,0.010152025784641028
MAR,0.2,S2,1017,xgb,0.9369426704926743,extratrees,0.9302833767294493,0.006659293763225049
MAR,0.2,S2,1018,xgb,0.9317931611056418,extratrees,0.9240768224930559,0.007716338612585916
MAR,0.2,S2,1019,xgb,0.9404391568907361,rf,0.9289782139608015,0.011460942929934603
MAR,0.2,S2,1020,xgb,0.937137959246351,extratrees,0.9298288886756303,0.0073090705707207215
MAR,0.3,S1,1001,xgb,0.9089724115409364,rf,0.8971628862895227,0.011809525251413766
MAR,0.3,S1,1002,xgb,0.9127693058788069,extratrees,0.9023561298119684,0.010413176066838448
MAR,0.3,S1,1003,xgb,0.9203995580174726,extratrees,0.9028209988435127,0.017578559173959896
MAR,0.3,S1,1004,xgb,0.9089644143074042,extratrees,0.8991159883567956,0.00984842595060853
MAR,0.3,S1,1005,xgb,0.9095188576234345,extratrees,0.9041038413677445,0.005415016255690075
MAR,0.3,S1,1006,xgb,0.9083900434106982,extratrees,0.9029774903691923,0.0054125530415058964
MAR,0.3,S1,1007,xgb,0.9149305562723452,extratrees,0.9079667212058476,0.006963835066497559
MAR,0.3,S1,1008,xgb,0.9103979134576822,extratrees,0.9003175977696845,0.01008031568799772
MAR,0.3,S1,1009,xgb,0.9087672720668667,extratrees,0.8989852563481746,0.009782015718692083
MAR,0.3,S1,1010,xgb,0.907090788102467,extratrees,0.8922179381828975,0.014872849919569497
MAR,0.3,S1,1011,xgb,0.9133194999405916,extratrees,0.8993601506175324,0.0139593493230592
MAR,0.3,S1,1012,xgb,0.9144120970297414,extratrees,0.9014371817510684,0.012974915278673005
MAR,0.3,S1,1013,xgb,0.9052543070846342,extratrees,0.901486360357603,0.0037679467270311795
MAR,0.3,S1,1014,xgb,0.9121327671533749,extratrees,0.9010459839743848,0.011086783178990034
MAR,0.3,S1,1015,xgb,0.9100742655930212,extratrees,0.8956080316494125,0.014466233943608686
MAR,0.3,S1,1016,xgb,0.9067667105223561,extratrees,0.89745971621916,0.009306994303196148
MAR,0.3,S1,1017,xgb,0.9138984156582349,rf,0.8872286311483762,0.026669784509858685
MAR,0.3,S1,1018,xgb,0.9061121360113645,extratrees,0.8910527083036074,0.015059427707757145
MAR,0.3,S1,1019,xgb,0.9104585350878303,rf,0.8983259301522845,0.012132604935545799
MAR,0.3,S1,1020,xgb,0.9116380043485327,extratrees,0.8959045786237028,0.01573342572482994
MAR,0.3,S2,1001,xgb,0.9143892086864719,extratrees,0.9015818598799266,0.012807348806545327
MAR,0.3,S2,1002,xgb,0.9183403011423668,extratrees,0.8942083444555173,0.02413195668684942
MAR,0.3,S2,1003,xgb,0.9094799960184397,extratrees,0.8918700242012754,0.017609971817164283
MAR,0.3,S2,1004,xgb,0.9064242763551762,extratrees,0.8984742795249229,0.007949996830253325
MAR,0.3,S2,1005,xgb,0.9183952746398241,extratrees,0.9043601727937599,0.014035101846064157
MAR,0.3,S2,1006,xgb,0.9126765596543731,extratrees,0.9000346314165822,0.012641928237790867
MAR,0.3,S2,1007,xgb,0.9179192303831609,extratrees,0.9035011797698929,0.014418050613268063
MAR,0.3,S2,1008,xgb,0.9021710427725314,extratrees,0.8907134384383341,0.011457604334197291
MAR,0.3,S2,1009,xgb,0.9024548928575354,extratrees,0.8930685366484751,0.009386356209060365
MAR,0.3,S2,1010,xgb,0.918501017932357,extratrees,0.9002682558990005,0.018232762033356442
MAR,0.3,S2,1011,xgb,0.9175830658466186,extratrees,0.9001935144052483,0.017389551441370332
