mechanism,rate,split,seed,winner_model,winner_auroc,winner_ap,winner_brier
MAR,0.4,S1,1006,xgb,0.8656062949327961,0.25241773639606596,0.02174148745834824
MAR,0.4,S1,1007,extratrees,0.866201153607331,0.24250131100805286,0.02276360878463048
MAR,0.4,S1,1008,extratrees,0.8453875669457727,0.26155195097562994,0.02244457141422024
MAR,0.4,S1,1009,xgb,0.8732267373935155,0.30808812450692225,0.02088176347315306
MAR,0.4,S1,1010,xgb,0.8657753423319242,0.27393944664189346,0.021343049779534322
MAR,0.4,S1,1011,xgb,0.8675475286474473,0.27556065542152103,0.02140869833528988
MAR,0.4,S1,1012,xgb,0.8743569958440863,0.2721226105564166,0.02145237326622004
MAR,0.4,S1,1013,xgb,0.8593096931464256,0.2613551274911896,0.02161755189299578
MAR,0.4,S1,1014,xgb,0.8606885924769048,0.22152546973825338,0.0222565002739429
MAR,0.4,S1,1015,xgb,0.8651642211654996,0.23817891036867733,0.022072629258036557
MAR,0.4,S1,1016,xgb,0.8751615960659105,0.29225292956124427,0.02117910087108608
MAR,0.4,S1,1017,xgb,0.8781762082096727,0.2632479465267739,0.02161824554204936
MAR,0.4,S1,1018,xgb,0.8635295130213395,0.2594177197049531,0.02176103182137008
MAR,0.4,S1,1019,xgb,0.8714099582922488,0.27064832433075253,0.02145623862743374
MAR,0.4,S1,1020,xgb,0.8641865701881388,0.2786319716338734,0.021341676265001257
MAR,0.4,S2,1001,xgb,0.8668107942137713,0.2732825904036639,0.02131337933242314
MAR,0.4,S2,1002,xgb,0.8585421121566214,0.23776796990312507,0.02193891555070872
MAR,0.4,S2,1003,xgb,0.8508588059541612,0.24646959577484825,0.02178437821567054
MAR,0.4,S2,1004,xgb,0.8785532222495073,0.2657776647457982,0.0215769793838262
MAR,0.4,S2,1005,xgb,0.8566063188257284,0.22870971863133255,0.022154122963547664
MAR,0.4,S2,1006,xgb,0.8721049106334375,0.2707521112807315,0.02164622880518432
MAR,0.4,S2,1007,xgb,0.8589665517903573,0.23075555169687978,0.022132555022835683
MAR,0.4,S2,1008,xgb,0.8721824096462811,0.2873842237520695,0.0211319055408239
MAR,0.4,S2,1009,xgb,0.8636592027250641,0.24843952233768193,0.021877633407711962
MAR,0.4,S2,1010,xgb,0.8510419286282345,0.25856030678278846,0.02157875746488568
MAR,0.4,S2,1011,xgb,0.8571638947807456,0.27162021330510805,0.02143090777099128
MAR,0.4,S2,1012,xgb,0.8589023835787817,0.26940214993392153,0.02149100974202152
MAR,0.4,S2,1013,xgb,0.861961040481021,0.23299992937145123,0.02206341847777362
MAR,0.4,S2,1014,xgb,0.8753981572892504,0.2822536287426648,0.02134780324995516
MAR,0.4,S2,1015,xgb,0.8605549115317738,0.24355967780873938,0.02192401401698586
MAR,0.4,S2,1016,xgb,0.865604385366345,0.24349104394819063,0.021878530830144842
MAR,0.4,S2,1017,xgb,0.8781538213998292,0.28174650321164396,0.021271456778049418
MAR,0.4,S2,1018,xgb,0.8701800749478761,0.2730001533000778,0.02152350321412082
MAR,0.4,S2,1019,xgb,0.8675179234362276,0.25082432578997105,0.021847878023982
MAR,0.4,S2,1020,xgb,0.8598288971362955,0.2548902756228473,0.02169654183089728
MAR,0.5,S1,1001,extratrees,0.782751189997188,0.1574820376173638,0.02373946554327442
MAR,0.5,S1,1002,xgb,0.7817139707771305,0.134238969000911,0.02347927726805206
MAR,0.5,S1,1003,extratrees,0.7775105642393906,0.1456823576110434,0.023910983577908003
MAR,0.5,S1,1004,rf,0.7711484616610733,0.1291965883397324,0.02370851509394794
MAR,0.5,S1,1005,extratrees,0.7708798592828299,0.1378127901425917,0.02388663206532462
MAR,0.5,S1,1006,xgb,0.7804680292718107,0.14270936048566027,0.02343185842037198
MAR,0.5,S1,1007,extratrees,0.7960596211563231,0.15600916415456206,0.023888375911549083
MAR,0.5,S1,1008,xgb,0.7665857575390926,0.12277381420484441,0.0237869251519441
MAR,0.5,S1,1009,xgb,0.7682345406808844,0.12577875586492193,0.0235950235277414
MAR,0.5,S1,1010,extratrees,0.7811068962393993,0.14630513578531967,0.02393227095666742
MAR,0.5,S1,1011,xgb,0.7853351700805555,0.1391283368287734,0.02360869310796256
MAR,0.5,S1,1012,xgb,0.7811795736548954,0.1508515202362269,0.023265061154961558
MAR,0.5,S1,1013,extratrees,0.7787751157905264,0.13924327298886005,0.02378598775986394
MAR,0.5,S1,1014,extratrees,0.7802425267906711,0.12398082754620739,0.024011529512691483
MAR,0.5,S1,1015,rf,0.7684810512460992,0.12882824113660063,0.0237991190626978
MAR,0.5,S1,1016,xgb,0.779422780380888,0.15484843571626103,0.0233063273131847
MAR,0.5,S1,1017,rf,0.7657861879294676,0.13116423561955243,0.02368798000720462
MAR,0.5,S1,1018,xgb,0.7679969324157153,0.11630580728989612,0.02381670586764806
