mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,extratrees,1003,2,0.96095333384643,0.5609965743613752,0.0174445465022477,0.0129303529314816
MCAR,0.0,S1,extratrees,1003,3,0.9396264655327228,0.5002749051971604,0.0177654395517676,0.0073188920454545
MCAR,0.0,S1,extratrees,1003,4,0.952775753158406,0.5509787381697921,0.0169478239425505,0.0084457859848484
MCAR,0.0,S1,extratrees,1003,5,0.9396435657596371,0.5144048274602909,0.0177060379182449,0.0084783380681818
MCAR,0.0,S1,lr_l2,1004,1,0.9037998380894556,0.5451086590505905,0.0161918527045897,0.0039942914845396
MCAR,0.0,S1,lr_l2,1004,2,0.8509197260063112,0.3643801726036542,0.0198246525695261,0.0037014569648643
MCAR,0.0,S1,lr_l2,1004,3,0.9252161420251932,0.4475940995951047,0.0183543748594495,0.0067623371390322
MCAR,0.0,S1,lr_l2,1004,4,0.8776016358924523,0.436202062780417,0.0187476547708607,0.003602554813944
MCAR,0.0,S1,lr_l2,1004,5,0.8934493440233237,0.4499376223333813,0.0185007801299722,0.0049732984977981
MCAR,0.0,S1,svm_linear_cal,1004,1,0.9043058085407812,0.5552256564918572,0.016399060883687,0.005608812026383
MCAR,0.0,S1,svm_linear_cal,1004,2,0.8394263577823955,0.3598378545732342,0.0198692037230002,0.0035079395438628
MCAR,0.0,S1,svm_linear_cal,1004,3,0.9218091793016752,0.4686405260095077,0.0180223342375613,0.0110980661710672
MCAR,0.0,S1,svm_linear_cal,1004,4,0.8611667881438291,0.4207399400611556,0.0192787136264821,0.0052288972386578
MCAR,0.0,S1,svm_linear_cal,1004,5,0.8853913589245223,0.452787303840342,0.0184245247092625,0.0087409749897299
MCAR,0.0,S1,rf,1004,1,0.9623456790123456,0.6345587311262867,0.0153798035044981,0.0104562918423622
MCAR,0.0,S1,rf,1004,2,0.947777008132584,0.4892032510145677,0.0175667342118619,0.008302247774504
MCAR,0.0,S1,rf,1004,3,0.9645142256086612,0.6300226903900559,0.0151883438975231,0.0098018227717094
MCAR,0.0,S1,rf,1004,4,0.928556243926142,0.4413414628811522,0.0188007528259393,0.0049544101331699
MCAR,0.0,S1,rf,1004,5,0.9464589407191448,0.5882320539390004,0.0160091254340277,0.01119140625
MCAR,0.0,S1,xgb,1004,1,0.9661455171018012,0.6119764108932941,0.0152059728279709,0.0084393295753978
MCAR,0.0,S1,xgb,1004,2,0.9429436363169912,0.490372730823646,0.0172405689954757,0.0069738222908364
MCAR,0.0,S1,xgb,1004,3,0.969876087123836,0.5838632473773974,0.0150211695581674,0.0042265898741013
MCAR,0.0,S1,xgb,1004,4,0.943988905085844,0.4866594843154687,0.017889130860567,0.009264106535157
MCAR,0.0,S1,xgb,1004,5,0.9546181567865242,0.597625038761935,0.015366337262094,0.0102475342751824
MCAR,0.0,S1,extratrees,1004,1,0.9586875126492612,0.6382741427189753,0.0158435293653611,0.0111868417938705
MCAR,0.0,S1,extratrees,1004,2,0.948649272685292,0.4970445760621022,0.017456755050505,0.0074952651515151
MCAR,0.0,S1,extratrees,1004,3,0.9651145488596424,0.617033258670037,0.0158808485243055,0.0106137547348484
