mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,rf,1009,5,0.9608944768383544,0.6043989471751334,0.0162384585970017,0.0087937971184517
MCAR,0.0,S1,xgb,1009,1,0.9585610200364298,0.5967437064358234,0.0157181825488805,0.009918215331058
MCAR,0.0,S1,xgb,1009,2,0.9475717694143,0.5125148907249462,0.0168625153601169,0.0071455030550489
MCAR,0.0,S1,xgb,1009,3,0.9639139023576796,0.5416573264510988,0.0162615552544593,0.004334065588275
MCAR,0.0,S1,xgb,1009,4,0.950897918691286,0.6388634238593481,0.0145018957555294,0.0067162095211301
MCAR,0.0,S1,xgb,1009,5,0.9699192176870748,0.5971847463429,0.0160032603889703,0.0083807412660183
MCAR,0.0,S1,extratrees,1009,1,0.951135903663226,0.5437282041155962,0.0167930816865854,0.0069364572239971
MCAR,0.0,S1,extratrees,1009,2,0.9396906026321866,0.4871450025967374,0.0177663658065025,0.0059901751893939
MCAR,0.0,S1,extratrees,1009,3,0.9491007978655172,0.5426607478671949,0.0175277322318096,0.0095165618936077
MCAR,0.0,S1,extratrees,1009,4,0.9467499797538064,0.5956907441569325,0.0165609522964015,0.0090062736742424
MCAR,0.0,S1,extratrees,1009,5,0.9592393505021056,0.5933350327127069,0.0168316287878787,0.0113802083333333
MCAR,0.0,S1,lr_l2,1010,1,0.8463317142278891,0.395547522549287,0.0190265706889054,0.0062416305892669
MCAR,0.0,S1,lr_l2,1010,2,0.9329023320249366,0.4287949858896014,0.0188590577968288,0.0112238970650557
MCAR,0.0,S1,lr_l2,1010,3,0.886359321686036,0.459019144380035,0.0178652997999872,0.0080935434242868
MCAR,0.0,S1,lr_l2,1010,4,0.9063360463232912,0.4627340991648859,0.0179635461943536,0.0054822995684724
MCAR,0.0,S1,lr_l2,1010,5,0.8710266844833171,0.44686552226228,0.0183683685526451,0.0047116503318064
MCAR,0.0,S1,svm_linear_cal,1010,1,0.8388382918437562,0.3951039277088248,0.0190939868567199,0.0046727466042825
MCAR,0.0,S1,svm_linear_cal,1010,2,0.929413273814105,0.4601009330199892,0.0190055693513335,0.0160252894285481
MCAR,0.0,S1,svm_linear_cal,1010,3,0.8781241181148824,0.4700187328566816,0.0174820705214603,0.0066674491919701
MCAR,0.0,S1,svm_linear_cal,1010,4,0.9026967930029156,0.4631248023467094,0.0181213240005588,0.0053312109388184
MCAR,0.0,S1,svm_linear_cal,1010,5,0.8523900631681244,0.436990193159579,0.0187567170167007,0.0045302769355566
MCAR,0.0,S1,rf,1010,1,0.9117435741752682,0.4620160305237246,0.018310554495152,0.004289653320815
