mechanism,rate,split,model,seed,auroc_mean,ap_mean,brier_mean,ece_mean,auroc_std,ap_std,brier_std
MAR,0.0,S1,svm_linear_cal,1011,0.8773955479133718,0.4436589785235655,0.01827866641969654,0.00664044447709216,0.018427409821418175,0.01670040848916569,0.00039652858174547205
MAR,0.0,S1,svm_linear_cal,1012,0.8841264762243168,0.4538050008189337,0.018461127531189742,0.00628562493059896,0.019679589441411596,0.06906972981521967,0.0011102409100345186
MAR,0.0,S1,svm_linear_cal,1013,0.8778422674754648,0.44579612205658503,0.01834992564615976,0.006936060027584639,0.022580245042250223,0.07481309200215813,0.001266789448757685
MAR,0.0,S1,svm_linear_cal,1014,0.88363486426616,0.4551373077176146,0.01833815186543262,0.00708335483838846,0.017881478591990057,0.0773672284075407,0.0014234174143259884
MAR,0.0,S1,svm_linear_cal,1015,0.878268954161508,0.4377211893045427,0.01888383208577482,0.00647745429959744,0.012629506035373874,0.030784641610924535,0.0006547736929558514
MAR,0.0,S1,svm_linear_cal,1016,0.8843971084446285,0.45035294984444346,0.01847364110753916,0.00706680799598156,0.024588386081079605,0.04667267714007589,0.0011423226820331733
MAR,0.0,S1,svm_linear_cal,1017,0.8804035591741679,0.4471896667030273,0.018595406192394297,0.00695203013731672,0.017450326186642634,0.05076858700132179,0.001040966339300524
MAR,0.0,S1,svm_linear_cal,1018,0.8760402220133019,0.4536299229988618,0.01828009087268058,0.0061101124667585,0.015753396373307353,0.05407791537335108,0.0013029556799053702
MAR,0.0,S1,svm_linear_cal,1019,0.8846767615832993,0.45049719125484505,0.0183879020407133,0.00599602062836426,0.010102796943690779,0.036126646543044164,0.001041394996596236
MAR,0.0,S1,svm_linear_cal,1020,0.8807441939792021,0.4458862066039222,0.0183606843642805,0.0068739728855037804,0.022304338250699007,0.07916685018476072,0.0018534515985402641
MAR,0.0,S1,xgb,1001,0.9600384894535464,0.5842024011112866,0.015685167722403963,0.00738059998195692,0.009268695689335327,0.053868286423855834,0.0012155119507784972
MAR,0.0,S1,xgb,1002,0.9550617483457096,0.5634138093460291,0.0161458425223827,0.0069866741278662,0.008169149356470586,0.07908785081493722,0.0017262821037198942
MAR,0.0,S1,xgb,1003,0.9533960065247978,0.5609460385592272,0.0160674091428518,0.008290379730673661,0.008862438563930443,0.04937043516119374,0.0011883044098200464
MAR,0.0,S1,xgb,1004,0.9555144604829993,0.5540993824343483,0.016144635900855,0.00783027651013498,0.012358631521581034,0.06070285582682573,0.0013222467404942595
MAR,0.0,S1,xgb,1005,0.9579001868186763,0.5742799940221098,0.01591585781425232,0.0084414301205532,0.012101375077514367,0.03823584605530001,0.0008123506618930952
MAR,0.0,S1,xgb,1006,0.957176169270849,0.5738820961505523,0.0159300852566957,0.00609061309554916,0.0085169159233361,0.03537316758772874,0.0007781449848243709
MAR,0.0,S1,xgb,1007,0.9573386463856224,0.5714659788668562,0.016003664210438678,0.007306161888638319,0.0054046531570225214,0.03178745244517636,0.0005617301978442145
MAR,0.0,S1,xgb,1008,0.9516985525752559,0.5597755354366691,0.01617240123450752,0.007674764919494639,0.008425287857132372,0.038339157009446435,0.0009125241653497258
MAR,0.0,S1,xgb,1009,0.9581727656373541,0.5773928187628232,0.015869481861591282,0.007298946952306059,0.00917053770351259,0.050077398842317725,0.0008733437193478035
